npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm info using npm@11.13.0
npm info using node@v24.16.0
npm verbose title npm install
npm verbose argv "install" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:C:\Users\HUU LOC\AppData\Local\npm-cache\_logs\2026-06-14T07_03_58_299Z-
npm verbose logfile C:\Users\HUU LOC\AppData\Local\npm-cache\_logs\2026-06-14T07_03_58_299Z-debug-0.log
npm http cache https://registry.npmjs.org/@nestjs%2fcommon 9ms (cache hit)
npm http cache https://registry.npmjs.org/class-transformer 3ms (cache hit)
npm http cache https://registry.npmjs.org/class-validator 3ms (cache hit)
npm http cache https://registry.npmjs.org/reflect-metadata 3ms (cache hit)
npm http cache https://registry.npmjs.org/rxjs 4ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fcore 5ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fmicroservices 4ms (cache hit)
npm http cache https://registry.npmjs.org/@grpc%2fgrpc-js 5ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fwebsockets 4ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fplatform-socket.io 4ms (cache hit)
npm http cache https://registry.npmjs.org/amqp-connection-manager 4ms (cache hit)
npm http cache https://registry.npmjs.org/amqplib 3ms (cache hit)
npm http cache https://registry.npmjs.org/cache-manager 3ms (cache hit)
npm http cache https://registry.npmjs.org/ioredis 3ms (cache hit)
npm http cache https://registry.npmjs.org/kafkajs 5ms (cache hit)
npm http cache https://registry.npmjs.org/mqtt 5ms (cache hit)
npm http cache https://registry.npmjs.org/nats 4ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fplatform-express 4ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fswagger 4ms (cache hit)
npm http cache https://registry.npmjs.org/@fastify%2fstatic 7ms (cache hit)
npm http cache https://registry.npmjs.org/dotenv 8ms (cache hit)
npm http cache https://registry.npmjs.org/firebase-admin 3ms (cache hit)
npm http cache https://registry.npmjs.org/nodemailer 3ms (cache hit)
npm http cache https://registry.npmjs.org/socket.io 3ms (cache hit)
npm http cache https://registry.npmjs.org/swagger-ui-express 3ms (cache hit)
npm http cache https://registry.npmjs.org/express 2ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2feslintrc 3ms (cache hit)
npm http cache https://registry.npmjs.org/@eslint%2fjs 2ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fcli 2ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fcli 3ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fcore 7ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fhelpers 4ms (cache hit)
npm http cache https://registry.npmjs.org/chokidar 4ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2fschematics 3ms (cache hit)
npm http cache https://registry.npmjs.org/prettier 3ms (cache hit)
npm http cache https://registry.npmjs.org/typescript 18ms (cache hit)
npm http cache https://registry.npmjs.org/@nestjs%2ftesting 5ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fexpress 3ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fjest 3ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fnode 14ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fnodemailer 5ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2fsupertest 3ms (cache hit)
npm http cache https://registry.npmjs.org/eslint 4ms (cache hit)
npm http cache https://registry.npmjs.org/jiti 3ms (cache hit)
npm http cache https://registry.npmjs.org/eslint-config-prettier 2ms (cache hit)
npm http cache https://registry.npmjs.org/eslint-plugin-prettier 3ms (cache hit)
npm http cache https://registry.npmjs.org/@types%2feslint 4ms (cache hit)
npm http fetch GET 200 https://registry.npmjs.org/globals 35456ms (cache miss)
npm http cache https://registry.npmjs.org/jest 8ms (cache hit)
npm http cache https://registry.npmjs.org/node-notifier 6ms (cache hit)
npm http cache https://registry.npmjs.org/source-map-support 4ms (cache hit)
npm http cache https://registry.npmjs.org/supertest 6ms (cache hit)
npm http cache https://registry.npmjs.org/ts-jest 10ms (cache hit)
npm http cache https://registry.npmjs.org/@babel%2fcore 6ms (cache hit)
npm http cache https://registry.npmjs.org/@jest%2ftransform 7ms (cache hit)
npm http cache https://registry.npmjs.org/@jest%2ftypes 7ms (cache hit)
npm http cache https://registry.npmjs.org/babel-jest 6ms (cache hit)
npm http cache https://registry.npmjs.org/jest-util 5ms (cache hit)
npm http cache https://registry.npmjs.org/ts-loader 7ms (cache hit)
npm http cache https://registry.npmjs.org/loader-utils 9ms (cache hit)
npm http cache https://registry.npmjs.org/webpack 13ms (cache hit)
npm http cache https://registry.npmjs.org/ts-node 7ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fcore 15ms (cache hit)
npm http cache https://registry.npmjs.org/@swc%2fwasm 7ms (cache hit)
npm http cache https://registry.npmjs.org/tsconfig-paths 7ms (cache hit)
npm http cache https://registry.npmjs.org/typescript-eslint 14ms (cache hit)
npm http cache https://registry.npmjs.org/ajv 31ms (cache hit)
npm http cache https://registry.npmjs.org/ignore 41ms (cache hit)
npm http cache https://registry.npmjs.org/espree 46ms (cache hit)
npm http cache https://registry.npmjs.org/import-fresh 49ms (cache hit)
npm http cache https://registry.npmjs.org/minimatch 51ms (cache hit)
npm http cache https://registry.npmjs.org/debug 56ms (cache hit)
npm http cache https://registry.npmjs.org/globals 57ms (cache hit)
npm http cache https://registry.npmjs.org/@angular-devkit%2fcore 75ms (cache hit)
